,positive_words
0,worst
1,two star
2,not
3,disappoint
4,not worth
5,bland
6,terribl
7,horribl
8,mediocr
9,veri disappoint
10,rude
11,meh
12,aw
13,at best
14,overpr
15,poor
16,lack
17,not good
18,wors
19,not recommend
20,disgust
21,dirti
22,no
23,never again
24,will never
25,no thank
26,wast
27,to love
28,wo be
29,noth
30,not impress
31,will not
32,gross
33,poorli
34,not great
35,wo
36,unfortun
37,underwhelm
38,elsewher
39,unprofession
40,suck
41,not veri
42,ruin
43,never come
44,definit not
45,onli good
46,the worst
47,nice but
48,stay away
49,told
50,bewar
51,sad
52,tast like
53,tasteless
54,one star
55,bare
56,flavorless
57,veri littl
58,tri to
59,bad
60,averag
61,downhil
62,yuck
63,hair in
64,salti
65,shame
66,never
67,that great
68,avoid
69,should
70,way too
71,ridicul
72,to like
73,nasti
74,not come
75,dri
76,money
77,ignor
78,overr
79,good but
80,somewher els
81,slowest
82,ined
83,instead
84,ok
85,screw
86,zero
87,sorri
88,no flavor
89,eh
90,sick
91,wa dri
92,left
93,uncomfort
94,guess
95,not happi
96,unaccept
97,slow
98,declin
99,better
100,okay
101,stale
102,we wo
103,refus
104,filthi
105,advertis
106,cockroach
107,scam
108,not so
109,sub par
110,poison
111,noth special
112,never go
113,pay
114,paid
115,look like
116,should have
117,nope
118,food poison
119,just not
120,at all
121,inconsist
122,just wa
123,bore
124,cancel
125,better option
126,tell me
127,rip
128,then
129,better off
130,manag
131,soggi
132,they ca
133,seem
134,realli want
135,are better
136,undercook
137,dri and
138,over price
139,cold
140,so disappoint
141,skip thi
142,avoid thi
143,never return
144,said
145,hype
146,use to
147,so so
148,refund
149,sadli
150,blah
151,wa excit
152,piss
153,overcook
154,that about
155,custom
156,pathet
157,expens
158,good thing
159,order
160,would not
161,subpar
162,roach
163,nice though
164,good review
165,whi
166,high price
167,joke
168,ugh
169,charg
170,frustrat
171,uninspir
172,wa noth
173,mess
174,dump
175,pretti disappoint
176,excit to
177,friendli but
178,mayb
179,expect more
180,bland and
181,over cook
182,tast
183,unless
184,appar
185,insult
186,at me
187,atroci
188,hope
189,motel
190,zero star
191,best part
192,more like
193,wast of
194,lousi
195,empti
196,wtf
197,rather
198,quit disappoint
199,attitud
